Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,HDPE-1,3.3,12.83,100,25.4,,,,,,,,
2,HDPE-5,3.3,12.83,83.44,127,,,,,,,,
3,HDPE-20,3.3,12.73,91.19,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,25.213,10.6453,1.1036,,,,,,,,,,
,25.313,10.6871,1.1032,,,,,,,,,,
,25.413,10.7293,1.103,,,,,,,,,,
,25.513,10.772,1.1022,,,,,,,,,,
,25.613,10.8141,1.1018,,,,,,,,,,
,25.713,10.8572,1.1018,,,,,,,,,,
,25.813,10.899,1.1016,,,,,,,,,,
,25.913,10.9419,1.1016,,,,,,,,,,
,26.013,10.9837,1.1007,,,,,,,,,,
,26.113,11.0258,1.1001,,,,,,,,,,
,26.213,11.0684,1.0996,,,,,,,,,,
,26.313,11.1101,1.0994,,,,,,,,,,
,26.413,11.1532,1.0995,,,,,,,,,,
,26.513,11.1953,1.0991,,,,,,,,,,
,26.613,11.2383,1.0985,,,,,,,,,,
,26.713,11.28,1.0976,,,,,,,,,,
,26.813,11.3222,1.0973,,,,,,,,,,
,26.913,11.3647,1.0974,,,,,,,,,,
,27.013,11.4067,1.0971,,,,,,,,,,
,27.113,11.4498,1.0967,,,,,,,,,,
,27.213,11.4913,1.0956,,,,,,,,,,
,27.313,11.5347,1.0955,,,,,,,,,,
,27.413,11.5761,1.095,,,,,,,,,,
,27.513,11.6192,1.0951,,,,,,,,,,
,27.613,11.6609,1.0941,,,,,,,,,,
,27.713,11.7033,1.0938,,,,,,,,,,
,27.813,11.7456,1.0931,,,,,,,,,,
,27.913,11.7877,1.0926,,,,,,,,,,
,28.013,11.8305,1.0924,,,,,,,,,,
,28.113,11.8725,1.092,,,,,,,,,,
,28.213,11.9154,1.0918,,,,,,,,,,
,28.313,11.9574,1.091,,,,,,,,,,
,28.413,12,1.0907,,,,,,,,,,
,28.513,12.0422,1.0903,,,,,,,,,,
,28.613,12.084,1.09,,,,,,,,,,
,28.713,12.1267,1.0893,,,,,,,,,,
,28.813,12.1686,1.0885,,,,,,,,,,
,28.913,12.2117,1.0881,,,,,,,,,,
,29.013,12.2535,1.0877,,,,,,,,,,
,29.113,12.2963,1.0879,,,,,,,,,,
,29.213,12.3384,1.0872,,,,,,,,,,
,29.313,12.3805,1.0864,,,,,,,,,,
