Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,pc-1,3.1,12.75,93.95,25.4,,,,,,,,
2,pc-5,3.07,12.75,91.95,127,,,,,,,,
3,pc-20,3.07,12.7,89.1,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,19.757,8.3377,2.1112,,,11.754,24.7688,2.1264,,,9.741,82.0478,2.398
,19.806,8.3584,2.0911,,,11.854,24.981,2.1271,,,9.841,82.8943,2.4122
,19.868,8.3842,2.0708,,,11.954,25.1928,2.1275,,,9.941,83.7411,2.4258
,19.952,8.4206,2.0508,,,12.054,25.4041,2.128,,,10.041,84.5875,2.4378
,20.052,8.4626,2.0327,,,12.154,25.6158,2.1284,,,10.141,85.4344,2.4501
,20.152,8.5054,2.0201,,,12.254,25.8278,2.129,,,10.241,86.2811,2.4617
,20.252,8.5472,2.0106,,,12.354,26.0392,2.1296,,,10.341,87.1275,2.4726
,20.352,8.589,2.0027,,,12.454,26.2511,2.1299,,,10.441,87.9742,2.4841
,20.452,8.632,1.9982,,,12.554,26.4622,2.1298,,,10.541,88.8209,2.4948
,20.552,8.6737,1.9934,,,12.654,26.6741,2.1304,,,10.641,89.6678,2.5054
,20.652,8.717,1.9905,,,12.754,26.8863,2.131,,,10.741,90.5143,2.5154
,20.752,8.7588,1.9877,,,12.854,27.0973,2.131,,,10.841,91.3607,2.5248
,20.852,8.8019,1.986,,,12.954,27.3092,2.1318,,,10.941,92.2077,2.5344
,20.952,8.8433,1.9837,,,13.054,27.5212,2.1322,,,11.041,93.0544,2.5435
,21.052,8.8861,1.9822,,,13.154,27.7323,2.1327,,,11.141,93.9008,2.5518
,21.152,8.9281,1.9804,,,13.254,27.9441,2.133,,,11.241,94.7477,2.5601
,21.252,8.9702,1.979,,,13.354,28.1562,2.1337,,,11.323,95.4418,2.523
,21.352,9.0129,1.9777,,,13.454,28.3675,2.1339,,,11.324,95.4502,2.4939
,21.452,9.055,1.9769,,,13.554,28.5796,2.1348,,,11.325,95.4587,2.4575
,21.552,9.098,1.9759,,,13.654,28.7906,2.1345,,,11.326,95.4672,2.4145
,21.652,9.1398,1.9746,,,13.754,29.0024,2.1356,,,11.327,95.4757,2.3659
,21.752,9.1823,1.9736,,,13.854,29.2146,2.1362,,,11.328,95.4841,2.3125
,21.852,9.2244,1.9725,,,13.954,29.4258,2.136,,,11.329,95.4926,2.2547
,21.952,9.2668,1.9719,,,14.054,29.6371,2.1363,,,11.33,95.5011,2.1934
,22.052,9.3096,1.9706,,,14.154,29.8499,2.1372,,,11.331,95.5095,2.129
