Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,19.8,8.3546,0.4592,,,19.328,40.798,0.4756,,,,,
,19.9,8.3964,0.4597,,,19.428,41.0102,0.4757,,,,,
,20,8.4383,0.4599,,,19.528,41.2211,0.4752,,,,,
,20.1,8.4811,0.4603,,,19.628,41.4328,0.4753,,,,,
,20.2,8.523,0.4606,,,19.728,41.6451,0.4752,,,,,
,20.3,8.5663,0.4608,,,19.828,41.8563,0.4749,,,,,
,20.4,8.6083,0.4612,,,19.928,42.0678,0.475,,,,,
,20.5,8.651,0.4615,,,20.028,42.2799,0.4744,,,,,
,20.6,8.6926,0.4619,,,20.128,42.4914,0.4746,,,,,
,20.7,8.735,0.4622,,,20.228,42.7035,0.4744,,,,,
,20.8,8.7774,0.4624,,,20.328,42.9146,0.4741,,,,,
,20.9,8.8193,0.4629,,,20.428,43.1261,0.4739,,,,,
,21,8.8622,0.4628,,,20.528,43.3384,0.4739,,,,,
,21.1,8.9043,0.4634,,,20.628,43.5497,0.4736,,,,,
,21.2,8.9475,0.4637,,,20.728,43.761,0.4736,,,,,
,21.3,8.989,0.4637,,,20.828,43.9734,0.4734,,,,,
,21.4,9.0314,0.4644,,,20.928,44.1848,0.4733,,,,,
,21.5,9.0739,0.4641,,,21.028,44.3963,0.473,,,,,
,21.6,9.1158,0.4645,,,21.128,44.6082,0.473,,,,,
,21.7,9.1586,0.4647,,,21.228,44.8198,0.4728,,,,,
,21.8,9.2005,0.4649,,,21.328,45.0314,0.4723,,,,,
,21.9,9.2436,0.4654,,,21.428,45.2431,0.4724,,,,,
,22,9.2852,0.4652,,,21.528,45.4545,0.4722,,,,,
,22.1,9.3283,0.4658,,,21.628,45.6668,0.4721,,,,,
,22.2,9.37,0.4658,,,21.728,45.8781,0.4718,,,,,
,22.3,9.4124,0.4659,,,21.828,46.0892,0.4716,,,,,
,22.4,9.4547,0.4666,,,21.928,46.3018,0.4712,,,,,
,22.5,9.4968,0.4663,,,22.028,46.5132,0.4713,,,,,
,22.6,9.5398,0.4666,,,22.128,46.7243,0.4707,,,,,
,22.7,9.5814,0.4667,,,22.228,46.9365,0.4711,,,,,
,22.8,9.6242,0.4671,,,22.328,47.1483,0.4705,,,,,
,22.9,9.6664,0.4674,,,22.428,47.3596,0.4704,,,,,
,23,9.709,0.4672,,,22.528,47.5715,0.4702,,,,,
,23.1,9.7514,0.4675,,,22.628,47.7828,0.47,,,,,
,23.2,9.7932,0.4679,,,22.728,47.9948,0.4698,,,,,
