Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,11.6,0.4858,0.6066,,,5.33,2.2306,2.3801,,,11.6,0.4863,0.1346,,,9.257,3.8926,1.6655
,11.7,0.4893,0.6097,,,5.388,2.256,2.4003,,,11.7,0.4903,0.1379,,,9.357,3.936,1.6705
,11.8,0.4943,0.6153,,,5.452,2.2829,2.4203,,,11.8,0.4949,0.1414,,,9.457,3.9775,1.6735
,11.9,0.498,0.6194,,,5.516,2.3097,2.4405,,,11.9,0.4985,0.1447,,,9.557,4.0207,1.6766
,12,0.5027,0.6247,,,5.581,2.3368,2.4607,,,12,0.5033,0.1486,,,9.657,4.0619,1.6799
,12.1,0.5064,0.6286,,,5.641,2.3631,2.4809,,,12.1,0.5071,0.1515,,,9.757,4.1049,1.6835
,12.2,0.5114,0.6342,,,5.708,2.3909,2.5009,,,12.2,0.5117,0.1548,,,9.857,4.1471,1.685
,12.3,0.515,0.6378,,,5.775,2.4189,2.521,,,12.3,0.5155,0.1578,,,9.957,4.1893,1.686
,12.4,0.5198,0.6435,,,5.838,2.4461,2.5412,,,12.4,0.5204,0.1615,,,10.057,4.2319,1.6888
,12.5,0.5235,0.6474,,,5.903,2.474,2.5613,,,12.5,0.5241,0.164,,,10.157,4.274,1.6911
,12.6,0.5283,0.6528,,,5.971,2.5025,2.5813,,,12.6,0.529,0.1677,,,10.257,4.3168,1.6938
,12.7,0.532,0.6569,,,6.04,2.5315,2.6016,,,12.7,0.5325,0.1704,,,10.357,4.3587,1.6968
,12.8,0.5364,0.6615,,,6.106,2.5602,2.6217,,,12.8,0.5376,0.1751,,,10.457,4.4015,1.6989
,12.9,0.5403,0.6656,,,6.18,2.5908,2.6419,,,12.9,0.5411,0.1776,,,10.557,4.4436,1.699
,13,0.5449,0.6703,,,6.252,2.6207,2.6621,,,13,0.5458,0.1813,,,10.657,4.4856,1.7011
,13.1,0.5488,0.6745,,,6.317,2.6494,2.6822,,,13.1,0.5494,0.1841,,,10.757,4.5281,1.7025
,13.2,0.5533,0.6793,,,6.392,2.6806,2.7023,,,13.2,0.5542,0.1879,,,10.857,4.5699,1.7024
,13.3,0.5576,0.6838,,,6.466,2.7117,2.7225,,,13.3,0.5578,0.1905,,,10.957,4.6129,1.7027
,13.4,0.5618,0.6882,,,6.536,2.742,2.7427,,,13.4,0.5626,0.1935,,,11.057,4.6548,1.7027
,13.5,0.5658,0.6923,,,6.614,2.7746,2.7629,,,13.5,0.5665,0.1964,,,11.157,4.698,1.7035
,13.6,0.5703,0.6971,,,6.691,2.8068,2.7831,,,13.6,0.5712,0.2006,,,11.257,4.7399,1.7031
,13.7,0.5742,0.7011,,,6.764,2.8383,2.8032,,,13.7,0.5751,0.203,,,11.357,4.7823,1.7034
,13.8,0.5789,0.7061,,,6.844,2.872,2.8234,,,13.8,0.5795,0.2072,,,11.457,4.8245,1.703
,13.9,0.5826,0.7099,,,6.924,2.9055,2.8434,,,13.9,0.5834,0.2099,,,11.557,4.8664,1.7016
